"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"06/27/2025","MoneyLink Deposit","","Tfr JPMORGAN CHASE BAN, West Central Ser","","","","$66.17"
"06/24/2025","Reinvest Shares","VWO","VANGUARD FTSE EMERGING MARKETS ETF","0.1414","$49.00","","-$6.93"
"06/24/2025","Buy","NVO","NOVO-NORDISK A S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","1","$70.7456","","-$70.75"
"06/24/2025","Reinvest Shares","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","0.6513","$67.85","","-$44.19"
"06/24/2025","Reinvest Dividend","VWO","VANGUARD FTSE EMERGING MARKETS ETF","","","","$6.93"
"06/24/2025","Reinvest Dividend","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","","","","$44.19"
"06/23/2025","Buy","NVO","NOVO-NORDISK A S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","1","$69.26","","-$69.26"
"06/23/2025","Buy to Close","MARA 07/18/2025 14.00 P","PUT MARA HLDGS INC $14 EXP 07/18/25","1","$0.95","$0.66","-$95.66"
"06/23/2025","Sell to Open","MARA 08/01/2025 13.50 P","PUT MARA HLDGS INC $13.5 EXP 08/01/25","1","$0.97","$0.66","$96.34"
"06/20/2025","Reinvest Shares","IVV","ISHARES CORE S&P ...500 ETF","0.1777","$598.97","","-$106.42"
"06/20/2025 as of 06/17/2025","Cash In Lieu","IBKR","INTERACTIVE BROKERS GROUCLASS A","","","","$9.52"
"06/20/2025","Reinvest Dividend","IVV","ISHARES CORE S&P ...500 ETF","","","","$106.42"
"06/20/2025","MoneyLink Deposit","","Tfr JPMORGAN CHASE BAN, West Central Ser","","","","$66.17"
"06/18/2025 as of 06/17/2025","Stock Split","IBKR","INTERACTIVE BROKERS GROUCLASS A","21","$52.0425","",""
"06/16/2025","Reinvest Shares","UL","UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","0.0663","$63.2009","","-$4.19"
"06/16/2025 as of 06/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.10"
"06/13/2025","ADR Mgmt Fee","UL","UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.04"
"06/13/2025","Qual Div Reinvest","UL","UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$4.19"
"06/13/2025","Reinvest Shares","IBKR","INTERACTIVE BROKERS GROUCLASS A","0.0112","$202.0845","","-$2.26"
"06/13/2025","Buy","BCS","BARCLAYS PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS","11","$17.435","","-$191.79"
"06/13/2025","Buy","SCHG","SCHWAB US LARGE CAP GROWTH ETF","10","$27.999","","-$279.99"
"06/13/2025","Buy","CEG","CONSTELLATION ENERGY COR","1","$297.49","","-$297.49"
"06/13/2025","Buy","HOOD","ROBINHOOD MKTS INC CLASS A","2","$73.35","","-$146.70"
"06/13/2025","Buy","ELF","E L F BEAUTY INC","1","$127.33","","-$127.33"
"06/13/2025","Buy","TDG","TRANSDIGM GROUP INC","0.1732","$1442.773","","-$249.89"
"06/13/2025","Buy","AXON","AXON ENTERPRISE INC","0.321","$778.6138","","-$249.94"
"06/13/2025","Buy","VWO","VANGUARD FTSE EMERGING MARKETS ETF","10","$48.415","","-$484.15"
"06/13/2025","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","7","$68.05","","-$476.35"
"06/13/2025","Sell","CGXU","CAPITAL GROUP INTRTNL FOC EQY ETF","82.8967","$26.5702","$0.01","$2202.57"
"06/13/2025","MoneyLink Deposit","","Tfr JPMORGAN CHASE BAN, West Central Ser","","","","$66.17"
"06/13/2025","Qual Div Reinvest","IBKR","INTERACTIVE BROKERS GROUCLASS A","","","","$2.26"
"06/11/2025","Reinvest Shares","SPGI","S&P GLOBAL INC","0.0039","$515.3174","","-$2.00"
"06/11/2025","Buy","CHWY","CHEWY INC CLASS A","5","$40.58","","-$202.90"
"06/11/2025","Qual Div Reinvest","SPGI","S&P GLOBAL INC","","","","$2.00"
"06/10/2025","Sell to Open","MARA 07/18/2025 14.00 P","PUT MARA HLDGS INC $14 EXP 07/18/25","1","$0.54","$0.66","$53.34"
"06/09/2025","Buy to Close","SOFI 07/18/2025 12.00 P","PUT SOFI TECHNOLOGIES IN$12 EXP 07/18/25","1","$0.23","$0.66","-$23.66"
"06/09/2025","Buy to Close","APLD 07/18/2025 8.00 P","PUT APPLIED DIGITAL CORP$8 EXP 07/18/25","1","$0.23","$0.66","-$23.66"
"06/06/2025","Buy","TDG","TRANSDIGM GROUP INC","0.017","$1465.72","","-$24.92"
"06/06/2025","Buy","AXON","AXON ENTERPRISE INC","0.0314","$795.265","","-$24.97"
"06/06/2025","Qualified Dividend","CEG","CONSTELLATION ENERGY COR","","","","$0.39"
"06/05/2025","Sell to Open","APLD 07/18/2025 8.00 P","PUT APPLIED DIGITAL CORP$8 EXP 07/18/25","1","$0.30","$0.66","$29.34"
"06/03/2025","Sell to Open","SOFI 07/18/2025 12.00 P","PUT SOFI TECHNOLOGIES IN$12 EXP 07/18/25","1","$0.35","$0.66","$34.34"
"06/03/2025","Buy to Close","INTC 06/13/2025 20.50 P","PUT INTEL CORP $20.5 EXP 06/13/25","1","$0.67","$0.66","-$67.66"
"06/02/2025","Reinvest Shares","V","VISA INC CLASS A","0.004","$362.5843","","-$1.46"
"06/02/2025","Reinvest Shares","EQT","EQT CORP","0.0314","$56.0299","","-$1.76"
"06/02/2025","Qual Div Reinvest","EQT","EQT CORP","","","","$1.76"
"06/02/2025","Qual Div Reinvest","V","VISA INC CLASS A","","","","$1.46"
"05/27/2025","Buy","BCS","BARCLAYS PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS","5","$17.90","","-$89.50"
"05/27/2025","Buy","TDG","TRANSDIGM GROUP INC","0.0691","$1446.0214","","-$99.92"
"05/27/2025","Buy","AXON","AXON ENTERPRISE INC","0.1343","$744.568","","-$100.00"
"05/27/2025","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","14","$67.3699","","-$943.18"
"05/27/2025","Sell","CGXU","CAPITAL GROUP INTRTNL FOC EQY ETF","37","$26.6644","$0.01","$986.57"
"05/27/2025","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","38","$67.37","","-$2560.06"
"05/27/2025","Sell","CGXU","CAPITAL GROUP INTRTNL FOC EQY ETF","100","$26.665","$0.02","$2666.48"
"05/22/2025","Buy to Close","INTC 06/06/2025 20.50 P","PUT INTEL CORP $20.5 EXP 06/06/25","1","$0.56","$0.66","-$56.66"
"05/22/2025","Sell to Open","INTC 06/13/2025 20.50 P","PUT INTEL CORP $20.5 EXP 06/13/25","1","$0.70","$0.66","$69.34"
"05/21/2025","Reinvest Shares","MTG","MGIC INVT CORP WIS","0.1382","$26.41","","-$3.65"
"05/21/2025","Qual Div Reinvest","MTG","MGIC INVT CORP WIS","","","","$3.65"
"05/20/2025","Buy","BCS","BARCLAYS PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS","5","$17.7782","","-$88.89"
"05/20/2025","Buy","HOOD","ROBINHOOD MKTS INC CLASS A","1","$64.50","","-$64.50"
"05/16/2025","Buy","PYPL","PAYPAL HLDGS INC","2","$71.865","","-$143.73"
"05/16/2025","Buy","TDG","TRANSDIGM GROUP INC","0.3215","$1415.0984","","-$454.95"
"05/16/2025","Buy","AXON","AXON ENTERPRISE INC","0.8023","$729.0875","","-$584.95"
"05/16/2025 as of 05/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.08"
"05/15/2025","Buy","PEP","PEPSICO INC","1","$131.16","","-$131.16"
"05/15/2025","Sell","KO","THE COCA-COLA CO","5","$71.5817","","$357.91"
"05/12/2025","Sell to Open","INTC 06/06/2025 20.50 P","PUT INTEL CORP $20.5 EXP 06/06/25","1","$0.34","$0.66","$33.34"
"05/12/2025 as of 05/09/2025","Sell","CCL","CARNIVAL CORP F","100","$18.50","$0.07","$1849.93"
"05/12/2025 as of 05/09/2025","Assigned","CCL 05/09/2025 18.50 C","CALL CARNIVAL CORP $18.5 EXP 05/09/25","1","","",""
"05/09/2025","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$0.06"
"04/30/2025","Reinvest Shares","EME","EMCOR GROUP INC","0.0006","$384.79","","-$0.25"
"04/30/2025","Qual Div Reinvest","EME","EMCOR GROUP INC","","","","$0.25"
"04/29/2025","Foreign Tax Paid","KEP","KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","-$0.17"
"04/29/2025","Qualified Dividend","KEP","KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$1.04"
"04/29/2025","ADR Mgmt Fee","KEP","KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","-$0.30"
"04/23/2025","Sell","GDMN","WISDMTREE EFF GLD PLS GLD MNR ST ETF","10","$46.96","$0.01","$469.59"
"04/21/2025","Sell to Open","CCL 05/09/2025 18.50 C","CALL CARNIVAL CORP $18.5 EXP 05/09/25","1","$0.56","$0.66","$55.34"
"04/21/2025 as of 04/17/2025","Assigned","CCL 04/17/2025 19.50 P","PUT CARNIVAL CORP $19.5 EXP 04/17/25","1","","",""
"04/21/2025 as of 04/17/2025","Buy","CCL","CARNIVAL CORP F","100","$19.50","","-$1950.00"
"04/16/2025 as of 04/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.16"
"04/11/2025","Buy","GDMN","WISDMTREE EFF GLD PLS GLD MNR ST ETF","10","$48.08","","-$480.80"
"04/10/2025","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$1.00"
"04/10/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$4.74"
"04/08/2025","Buy","SHOP","SHOPIFY INC FCLASS A","1","$84.74","","-$84.74"
"04/02/2025","Reinvest Shares","NVDA","NVIDIA CORP","0.0004","$109.09","","-$0.04"
"04/02/2025","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$0.04"
"03/31/2025","Reinvest Shares","SCHG","SCHWAB US LARGE CAP GROWTH ETF","0.4916","$24.47","","-$12.03"
"03/31/2025","Reinvest Shares","PEP","PEPSICO INC","0.0274","$152.3101","","-$4.17"
"03/31/2025","Buy","KO","THE COCA-COLA CO","2","$71.7584","","-$143.52"
"03/31/2025","Reinvest Shares","UL","UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","0.0625","$59.7998","","-$3.74"
"03/31/2025","Qual Div Reinvest","PEP","PEPSICO INC","","","","$4.17"
"03/31/2025","Reinvest Dividend","SCHG","SCHWAB US LARGE CAP GROWTH ETF","","","","$12.03"
"03/28/2025","ADR Mgmt Fee","UL","UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.04"
"03/28/2025","Qual Div Reinvest","UL","UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$3.74"
"03/28/2025","Buy","SHOP","SHOPIFY INC FCLASS A","2","$96.55","","-$193.10"
"03/27/2025","Buy","KO","THE COCA-COLA CO","3","$70.8587","","-$212.58"
"03/27/2025","Buy","VWO","VANGUARD FTSE EMERGING MARKETS ETF","4","$46.115","","-$184.46"
"03/27/2025","Buy","HOOD","ROBINHOOD MKTS INC CLASS A","2","$44.89","","-$89.78"
"03/25/2025","Reinvest Shares","VWO","VANGUARD FTSE EMERGING MARKETS ETF","0.0364","$46.18","","-$1.68"
"03/25/2025","Reinvest Shares","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","0.0958","$63.76","","-$6.11"
"03/25/2025","Reinvest Dividend","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","","","","$6.11"
"03/25/2025","Reinvest Dividend","VWO","VANGUARD FTSE EMERGING MARKETS ETF","","","","$1.68"
"03/24/2025","Sell to Open","CCL 04/17/2025 19.50 P","PUT CARNIVAL CORP $19.5 EXP 04/17/25","1","$0.31","$0.66","$30.34"
"03/24/2025","Buy to Close","DKNG 03/28/2025 39.00 P","PUT DRAFTKINGS INC NEW $39 EXP 03/28/25","1","$0.38","$0.66","-$38.66"
"03/21/2025","Special Dividend","IVV","ISHARES CORE S&P ...500 ETF","","","","$2.07"
"03/21/2025","Reinvest Shares","IVV","ISHARES CORE S&P ...500 ETF","0.175","$561.21","","-$98.21"
"03/21/2025","Reinvest Dividend","IVV","ISHARES CORE S&P ...500 ETF","","","","$98.21"
"03/19/2025","Buy","SHOP","SHOPIFY INC FCLASS A","2","$99.98","","-$199.96"
"03/18/2025","Qualified Dividend","CEG","CONSTELLATION ENERGY COR","","","","$0.39"
"03/17/2025 as of 03/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.18"
"03/14/2025","Reinvest Shares","IBKR","INTERACTIVE BROKERS GROUCLASS A","0.0107","$164.9499","","-$1.76"
"03/14/2025","Qual Div Reinvest","IBKR","INTERACTIVE BROKERS GROUCLASS A","","","","$1.76"
"03/12/2025","Reinvest Shares","SPGI","S&P GLOBAL INC","0.0042","$478.3546","","-$1.99"
"03/12/2025","Qual Div Reinvest","SPGI","S&P GLOBAL INC","","","","$1.99"
"03/05/2025","Buy","NVDA","NVIDIA CORP","1","$117.3582","","-$117.36"
"03/05/2025","Reinvest Shares","MTG","MGIC INVT CORP WIS","0.1533","$23.685","","-$3.63"
"03/05/2025","Qual Div Reinvest","MTG","MGIC INVT CORP WIS","","","","$3.63"
"03/03/2025","Reinvest Shares","V","VISA INC CLASS A","0.004","$365.0011","","-$1.46"
"03/03/2025","Reinvest Shares","EQT","EQT CORP","0.0362","$48.4054","","-$1.75"
"03/03/2025","Qual Div Reinvest","EQT","EQT CORP","","","","$1.75"
"03/03/2025","Qual Div Reinvest","V","VISA INC CLASS A","","","","$1.46"
"02/28/2025","Buy","PYPL","PAYPAL HLDGS INC","2","$70.815","","-$141.63"
"02/26/2025","Buy","VWO","VANGUARD FTSE EMERGING MARK ETF IV","2","$46.125","","-$92.25"
"02/25/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","3","$134.16","","-$402.48"
"02/25/2025","Sell","BILL","BILL HOLDINGS INC","1","$53.725","","$53.73"
"02/25/2025","Sell","KD","KYNDRYL HLDGS INC","1","$36.96","","$36.96"
"02/25/2025","Sell to Open","DKNG 03/28/2025 39.00 P","PUT DRAFTKINGS INC NEW $39 EXP 03/28/25","1","$0.76","$0.66","$75.34"
"02/19/2025","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","7","$62.845","","-$439.92"
"02/19/2025","Buy","VWO","VANGUARD FTSE EMERGING MARK ETF IV","10","$45.975","","-$459.75"
"02/19/2025","Sell","CGXU","CAPITAL GROUP INTRTNL FOC EQY ETF","38","$26.185","$0.04","$994.99"
"02/18/2025","Buy to Close","CHWY 02/28/2025 37.00 P","PUT CHEWY INC $37 EXP 02/28/25","1","$0.37","$0.66","-$37.66"
"02/18/2025 as of 02/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.19"
"02/13/2025","Sell","TTD","THE TRADE DESK INC CLASS A","4","$83.7301","$0.01","$334.91"
"02/11/2025","Buy","BILL","BILL HOLDINGS INC","1","$63.11","","-$63.11"
"02/07/2025","Sell","ELF","E L F BEAUTY INC","1","$71.301","","$71.30"
